KYIP,Ypsilanti,Michigan,United States,42.237928,-83.530408,
KBDE,Baudette,Minnesota,United States,48.728444,-94.612222,
KBJI,Bemidji,Minnesota,United States,47.510722,-94.934722,
KBRD,Brainerd,Minnesota,United States,46.398308,-94.138078,
KELO,Ely,Minnesota,United States,47.824444,-91.830833,
KGPZ,Grand Rapids,Minnesota,United States,47.211111,-93.509722,
KHIB,Hibbing,Minnesota,United States,47.386600,-92.838994,
KINL,International Falls,Minnesota,United States,48.566186,-93.403067,
KPNM,Princeton,Minnesota,United States,45.559868,-93.608217,
KRST,Rochester,Minnesota,United States,43.908283,-92.500014,
KSTC,Saint Cloud,Minnesota,United States,45.546556,-94.059889,
KSTP,Saint Paul,Minnesota,United States,44.934623,-93.060342,
KTVF,Thief River Falls,Minnesota,United States,48.065556,-96.185000,
KBIX,Biloxi,Mississippi,United States,30.410425,-88.924433,
KCBM,Columbus,Mississippi,United States,33.643833,-88.443833,
KPIB,Eastabuchie,Mississippi,United States,31.467100,-89.337100,
KGWO,Greenwood,Mississippi,United States,33.494328,-90.084706,
KGPT,Gulfport,Mississippi,United States,30.407278,-89.070111,
KJAN,Jackson,Mississippi,United States,32.311167,-90.075889,
KMEI,Meridian,Mississippi,United States,32.332624,-88.751868,
KTUP,Tupelo,Mississippi,United States,34.268100,-88.769900,
KCGI,Cape Girardeau,Missouri,United States,37.225300,-89.570800,
KCOU,Columbia,Missouri,United States,38.818094,-92.219631,
KTBN,Fort Leonard Wood,Missouri,United States,37.741631,-92.140736,
KJEF,Jefferson City,Missouri,United States,38.591200,-92.156100,
KJLN,Joplin,Missouri,United States,37.151814,-94.498269,
KAIZ,Kaiser,Missouri,United States,38.096035,-92.549488,
KMKC,Kansas City,Missouri,United States,39.127500,-94.598889,
KIRK,Kirksville,Missouri,United States,40.093500,-92.544900,
KSZL,Knob Noster,Missouri,United States,38.730306,-93.547864,
KPOF,Poplar Bluff,Missouri,United States,36.773944,-90.324861,
KSTJ,Saint Joseph,Missouri,United States,39.771944,-94.909706,
KSTL,Saint Louis,Missouri,United States,38.748697,-90.370028,
KSGF,Springfield,Missouri,United States,37.245667,-93.388639,
KBIL,Billings,Montana,United States,45.809210,-108.537654,
KBZN,Bozeman,Montana,United States,45.777643,-111.160151,
KBTM,Butte,Montana,United States,45.954806,-112.497472,
KCTB,Cut Bank,Montana,United States,48.608353,-112.376144,
KGGW,Glasgow,Montana,United States,48.212500,-106.615000,
KGTF,Great Falls,Montana,United States,47.482000,-111.370689,
KHVR,Havre,Montana,United States,48.542983,-109.762342,
KHLN,Helena,Montana,United States,46.606806,-111.982750,
KLWT,Lewistown,Montana,United States,47.049300,-109.467000,
KLVM,Livingston,Montana,United States,45.699389,-110.448306,
KMLS,Miles City,Montana,United States,46.428000,-105.886000,
KMSO,Missoula,Montana,United States,46.916306,-114.090556,
KSDY,Sidney,Montana,United States,47.706944,-104.192500,
KWYS,West Yellowstone,Montana,United States,44.688333,-111.117500,
KOLF,Wolf Point,Montana,United States,48.094444,-105.575000,
KAIA,Alliance,Nebraska,United States,42.053333,-102.803889,
KCDR,Chadron,Nebraska,United States,42.837500,-103.095556,
KGRI,Grand Island,Nebraska,United States,40.967500,-98.309600,
KLNK,Lincoln,Nebraska,United States,40.850971,-96.759250,
